number,name,image
3,Venusaur,
6,Charizard,
9,Blastoise,
12,Butterfree,
25,Pikachu,
52,Meowth,
68,Machamp,
94,Gengar,
99,Kingler,
131,Lapras,
133,Eevee,
143,Snorlax,
569,Garbodor,
812,Rillaboom,
815,Cinderace,
818,Inteleon,
823,Corviknight,
826,Orbeetle,
834,Drednaw,
839,Coalossal,
841,Flapple,
842,Appletun,
844,Sandaconda,
849,Toxtricity (Amped),toxtricity
849,Toxtricity (Low Key),toxtricity-low-key
851,Centiskorch,
858,Hatterene,
861,Grimmsnarl,
869,Alcremie,alcremie
869,Alcremie,alcremie-ruby-cream-strawberry
869,Alcremie,alcremie-matcha-cream-strawberry
869,Alcremie,alcremie-mint-cream-strawberry
869,Alcremie,alcremie-lemon-cream-strawberry
869,Alcremie,alcremie-salted-cream-strawberry
869,Alcremie,alcremie-ruby-swirl-strawberry
869,Alcremie,alcremie-caramel-swirl-strawberry
869,Alcremie,alcremie-rainbow-swirl-strawberry
869,Alcremie,alcremie-vanilla-cream-berry
869,Alcremie,alcremie-ruby-cream-berry
869,Alcremie,alcremie-matcha-cream-berry
869,Alcremie,alcremie-mint-cream-berry
869,Alcremie,alcremie-lemon-cream-berry
869,Alcremie,alcremie-salted-cream-berry
869,Alcremie,alcremie-ruby-swirl-berry
869,Alcremie,alcremie-caramel-swirl-berry
869,Alcremie,alcremie-rainbow-swirl-berry
869,Alcremie,alcremie-vanilla-cream-love
869,Alcremie,alcremie-ruby-cream-love
869,Alcremie,alcremie-matcha-cream-love
869,Alcremie,alcremie-mint-cream-love
869,Alcremie,alcremie-lemon-cream-love
869,Alcremie,alcremie-salted-cream-love
869,Alcremie,alcremie-ruby-swirl-love
869,Alcremie,alcremie-caramel-swirl-love
869,Alcremie,alcremie-rainbow-swirl-love
869,Alcremie,alcremie-vanilla-cream-star
869,Alcremie,alcremie-ruby-cream-star
869,Alcremie,alcremie-matcha-cream-star
869,Alcremie,alcremie-mint-cream-star
869,Alcremie,alcremie-lemon-cream-star
869,Alcremie,alcremie-salted-cream-star
869,Alcremie,alcremie-ruby-swirl-star
869,Alcremie,alcremie-caramel-swirl-star
869,Alcremie,alcremie-rainbow-swirl-star
869,Alcremie,alcremie-vanilla-cream-clover
869,Alcremie,alcremie-ruby-cream-clover
869,Alcremie,alcremie-matcha-cream-clover
869,Alcremie,alcremie-mint-cream-clover
869,Alcremie,alcremie-lemon-cream-clover
869,Alcremie,alcremie-salted-cream-clover
869,Alcremie,alcremie-ruby-swirl-clover
869,Alcremie,alcremie-caramel-swirl-clover
869,Alcremie,alcremie-rainbow-swirl-clover
869,Alcremie,alcremie-vanilla-cream-flower
869,Alcremie,alcremie-ruby-cream-flower
869,Alcremie,alcremie-matcha-cream-flower
869,Alcremie,alcremie-mint-cream-flower
869,Alcremie,alcremie-lemon-cream-flower
869,Alcremie,alcremie-salted-cream-flower
869,Alcremie,alcremie-ruby-swirl-flower
869,Alcremie,alcremie-caramel-swirl-flower
869,Alcremie,alcremie-rainbow-swirl-flower
869,Alcremie,alcremie-vanilla-cream-ribbon
869,Alcremie,alcremie-ruby-cream-ribbon
869,Alcremie,alcremie-matcha-cream-ribbon
869,Alcremie,alcremie-mint-cream-ribbon
869,Alcremie,alcremie-lemon-cream-ribbon
869,Alcremie,alcremie-salted-cream-ribbon
869,Alcremie,alcremie-ruby-swirl-ribbon
869,Alcremie,alcremie-caramel-swirl-ribbon
869,Alcremie,alcremie-rainbow-swirl-ribbon
879,Copperajah,
884,Duraludon,
892,Urshifu (Single Strike),urshifu
892,Urshifu (Rapid Strike),urshifu-rapid-strike
