number,name,image
19,Alolan Rattata,
20,Alolan Raticate,
26,Alolan Raichu,
27,Alolan Sandshrew,
28,Alolan Sandslash,
37,Alolan Vulpix,
38,Alolan Ninetales,
50,Alolan Diglett,
51,Alolan Dugtrio,
52,Alolan Meowth,
53,Alolan Persian,
74,Alolan Geodude,
75,Alolan Graveler,
76,Alolan Golem,
88,Alolan Grimer,
89,Alolan Muk,
103,Alolan Exeggutor,
105,Alolan Marowak,
52,Galarian Meowth,
77,Galarian Ponyta,
78,Galarian Rapidash,
79,Galarian Slowpoke,
80,Galarian Slowbro,
83,Galarian Farfetch'd,galarian-farfetchd
110,Galarian Weezing,
122,Galarian Mr. Mime,galarian-mr-mime
144,Galarian Articuno,
145,Galarian Zapdos,
146,Galarian Moltres,
199,Galarian Slowking,
222,Galarian Corsola,
263,Galarian Zigzagoon,
264,Galarian Linoone,
554,Galarian Darumaka,
555,Galarian Darmanitan,
562,Galarian Yamask,
618,Galarian Stunfisk,
58,Hisuian Growlithe,
59,Hisuian Arcanine,
100,Hisuian Voltorb,
101,Hisuian Electrode,
157,Hisuian Typhlosion,
211,Hisuian Qwilfish,
215,Hisuian Sneasel (M),hisuian-sneasel
215,Hisuian Sneasel (F),hisuian-sneasel-female
503,Hisuian Samurott,
549,Hisuian Lilligant,
550,Basculin (White-Striped),white-basculin
570,Hisuian Zorua,
571,Hisuian Zoroark,
628,Hisuian Braviary,
705,Hisuian Sliggoo,
706,Hisuian Goodra,
713,Hisuian Avalugg,
724,Hisuian Decidueye,
